t,s,spd,lat,lon,voltage,current,watt,wh,id
13:06:2025,16:48:17,4,50.529249,18.096264,39.92,1.36,54.29,0.00,0
13:06:2025,16:48:18,4,50.529244,18.096281,39.43,1.34,52.84,0.00,1
13:06:2025,16:48:19,5,50.529238,18.096300,39.94,0.86,34.35,0.00,2
13:06:2025,16:48:20,5,50.529232,18.096319,40.20,0.72,28.94,0.16,3
13:06:2025,16:48:21,5,50.529225,18.096337,40.26,0.69,27.78,0.00,4
13:06:2025,16:48:22,5,50.529218,18.096355,40.34,0.63,25.41,0.00,5
13:06:2025,16:48:23,5,50.529210,18.096372,39.05,1.43,55.84,0.00,6
13:06:2025,16:48:24,5,50.529202,18.096390,36.66,2.88,105.58,0.00,7
13:06:2025,16:48:25,6,50.529193,18.096412,36.83,2.42,89.13,0.00,8
13:06:2025,16:48:26,7,50.529182,18.096435,37.52,2.51,94.18,0.00,9
13:06:2025,16:48:27,8,50.529170,18.096460,37.36,2.51,93.77,0.00,10
13:06:2025,16:48:28,9,50.529158,18.096487,36.71,2.96,108.66,0.00,0
13:06:2025,16:48:29,9,50.529145,18.096516,36.68,2.81,103.07,0.00,1
13:06:2025,16:48:30,9,50.529131,18.096548,36.37,2.96,107.66,0.00,2
13:06:2025,16:48:31,10,50.529115,18.096581,35.36,3.62,128.00,0.00,3
13:06:2025,16:48:32,11,50.529098,18.096615,36.15,2.80,101.22,0.00,4
13:06:2025,16:48:33,11,50.529080,18.096651,36.38,2.61,94.95,0.00,5
13:06:2025,16:48:34,12,50.529063,18.096689,36.98,2.17,80.25,0.00,6
13:06:2025,16:48:35,12,50.529047,18.096729,36.08,3.09,111.49,0.00,7
13:06:2025,16:48:36,12,50.529029,18.096769,35.96,3.01,108.24,0.00,8
13:06:2025,16:48:37,13,50.529012,18.096811,36.49,2.54,92.68,0.00,9
13:06:2025,16:48:38,13,50.528992,18.096854,36.33,2.77,100.63,0.00,10
13:06:2025,16:48:39,13,50.528972,18.096897,36.35,2.71,98.51,0.00,0
13:06:2025,16:48:40,14,50.528951,18.096941,35.81,3.19,114.23,0.00,1
13:06:2025,16:48:41,14,50.528930,18.096986,34.99,3.80,132.96,0.00,2
13:06:2025,16:48:42,15,50.528909,18.097033,34.56,4.13,142.73,0.00,3
13:06:2025,16:48:43,15,50.528888,18.097082,34.99,3.61,126.31,0.00,4
13:06:2025,16:48:44,16,50.528864,18.097132,35.45,3.17,112.38,0.00,5
13:06:2025,16:48:45,16,50.528839,18.097180,35.70,3.03,108.17,0.00,6
13:06:2025,16:48:46,16,50.528810,18.097225,35.95,2.83,101.74,0.00,7
13:06:2025,16:48:47,16,50.528781,18.097271,36.20,2.68,97.02,0.00,8
13:06:2025,16:48:48,16,50.528752,18.097317,36.42,2.54,92.51,0.00,9
13:06:2025,16:48:49,16,50.528721,18.097361,36.34,2.70,98.12,0.00,10
13:06:2025,16:48:50,16,50.528687,18.097402,36.43,2.59,94.35,0.00,0
13:06:2025,16:48:51,16,50.528653,18.097438,35.95,3.02,108.57,0.00,1
13:06:2025,16:48:52,16,50.528616,18.097471,35.98,2.97,106.86,0.00,2
13:06:2025,16:48:53,16,50.528577,18.097498,36.16,2.85,103.06,0.00,3
13:06:2025,16:48:54,17,50.528537,18.097519,36.32,2.68,97.34,0.00,4
13:06:2025,16:48:55,16,50.528495,18.097534,36.21,2.86,103.56,0.00,5
13:06:2025,16:48:56,16,50.528452,18.097543,36.12,2.93,105.83,0.00,6
13:06:2025,16:48:57,16,50.528408,18.097545,36.04,3.02,108.84,0.00,7
13:06:2025,16:48:58,16,50.528366,18.097541,35.93,3.10,111.38,0.00,8
13:06:2025,16:48:59,16,50.528323,18.097531,36.00,2.99,107.64,0.00,9
13:06:2025,16:49:00,16,50.528283,18.097515,36.05,2.96,106.71,0.00,10
13:06:2025,16:49:01,16,50.528243,18.097492,36.09,2.91,105.02,0.00,0
13:06:2025,16:49:02,16,50.528205,18.097463,36.05,2.95,106.35,0.00,1
13:06:2025,16:49:03,16,50.528169,18.097429,35.96,3.04,109.32,0.00,2
13:06:2025,16:49:04,16,50.528136,18.097390,36.09,2.87,103.58,0.00,3
13:06:2025,16:49:05,16,50.528105,18.097345,36.03,2.99,107.73,0.00,4
13:06:2025,16:49:06,16,50.528078,18.097294,35.93,3.09,111.02,0.00,5
13:06:2025,16:49:07,16,50.528060,18.097237,35.69,3.32,118.49,0.00,6
13:06:2025,16:49:08,16,50.528051,18.097174,35.74,3.21,114.73,0.00,7
13:06:2025,16:49:09,17,50.528053,18.097109,36.38,2.59,94.22,0.00,8
